IGPCV;DENOMINACION;PROVINCIA;MUNICIPIO;UTMESTE;UTMNORTE;CODCLASIFICACION;CLASIFICACION;CODCATEGORIA;CATEGORIA
"03.014-9999-000025";"Torre Bosch";"ALICANTE";"ALACANT";"4251654";"724571";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000026";"Torre Boter";"ALICANTE";"ALACANT";"4250621";"723183";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000027";"Torre Bourguño";"ALICANTE";"ALACANT";"4245662";"712084";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000028";"Torre Alameda o Nicolau";"ALICANTE";"ALACANT";"4251798";"723736";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000029";"Torre del Cabo de las Huertas";"ALICANTE";"ALACANT";"4248184";"726726";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000030";"Torre Ferrer";"ALICANTE";"ALACANT";"4249799";"724742";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000031";"Torre Juana";"ALICANTE";"ALACANT";"4251701";"724356";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000032";"Torre Medialibra";"ALICANTE";"ALACANT";"4250960";"724485";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000033";"Torre Plácida";"ALICANTE";"ALACANT";"4251111";"724641";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000034";"Torre Reixes";"ALICANTE";"ALACANT";"4250963";"723686";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000035";"Torre San José (Tabarca)";"ALICANTE";"ALACANT";"4227068";"721182";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000036";"Torre Santa Faz";"ALICANTE";"ALACANT";"4252104";"723347";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000037";"Torre Santiago";"ALICANTE";"ALACANT";"4249924";"723766";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.014-9999-000038";"Torre Sarrió";"ALICANTE";"ALACANT";"4250054";"723895";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000039";"Torre Soto";"ALICANTE";"ALACANT";"4251974";"723554";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000040";"Torre Tres Olivos, Fabián o Guisot";"ALICANTE";"ALACANT";"4251250";"723928";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000041";"Torre Villa García";"ALICANTE";"ALACANT";"4251476";"723284";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000045";"Torre Rizo (Desaparecida)";"ALICANTE";"ALACANT";"4251058";"722994";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000058";"Castillo de San Fernando";"ALICANTE";"ALACANT";"4247738";"719244";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000061";"Tossal de Manises";"ALICANTE";"ALACANT";"4249380";"723814";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.014-9999-000249";"Colección Ulkes de orfebrería antigua";"ALICANTE";"ALACANT";;;2;"Bienes muebles 1ª";;
"03.014-9999-000250";"Murallas de Alicante";"ALICANTE";"ALACANT";;;1;"Bienes inmuebles 1ª";;
"03.014-9999-000251";"Murallas de Tabarca";"ALICANTE";"ALACANT";;;1;"Bienes inmuebles 1ª";;
"03.016-9999-000001";"Torre Almohade";"ALICANTE";"ALMUDAINA";"4293613";"729878";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.018-9999-000001";"Murallas y defensas del Recinto Fortificado de Altea";"ALICANTE";"ALTEA";"4276435";"756864";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.018-9999-000002";"Restos del Acueducto Romano de Altea";"ALICANTE";"ALTEA";"4275611";"755618";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.018-9999-000005";"Torre de la Galera";"ALICANTE";"ALTEA";"4279760";"760145";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.018-9999-000006";"Torre de Bellaguarda";"ALICANTE";"ALTEA";"4276691";"756910";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.018-9999-000010";"Conjunto Histórico del Baluarte y Recinto Renacentista de la Villa de Altea";"ALICANTE";"ALTEA";"4276371";"756788";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.019-9999-000001";"Castillo de Aljau";"ALICANTE";"ASPE";"4246790";"694877";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.019-9999-000003";"Castillo del Río";"ALICANTE";"ASPE";"4246136";"698821";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.020-9999-000001";"Castillo de la Costurera";"ALICANTE";"BALONES";"4292269";"732937";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.021-9999-000001";"Castillo de Serrella";"ALICANTE";"BANYERES DE MARIOLA";"4286675";"702908";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.021-9999-000002";"Castillo de Banyeres de Mariola";"ALICANTE";"BANYERES DE MARIOLA";"4287811";"703634";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.021-9999-000029";"Ruta dels Molins Paperers de Banyeres de Mariola al Riu Vinalopó";"ALICANTE";"BANYERES DE MARIOLA";"4286874";"703064";1;"Bienes inmuebles 1ª";8;"Espacio etnológico"
"03.021-9999-000030";"Torre de la Font Bona";"ALICANTE";"BANYERES DE MARIOLA";"4288394";"703667";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.022-9999-000001";"Torre del Palacio";"ALICANTE";"BENASAU";"4285850";"731014";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.023-9999-000002";"Torre Atalaya";"ALICANTE";"BENEIXAMA";"4285792";"694315";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.023-9999-000003";"Torre Negret";"ALICANTE";"BENEIXAMA";"4286880";"695937";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.028-9999-000004";"La Cova de l'Or";"ALICANTE";"BENIARRÉS";"4302840";"728756";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.031-9999-000001";"Torre Morales o Escaletes";"ALICANTE";"BENIDORM";"4268068";"753131";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.031-9999-000002";"Torre Punta del Cavall o Seguró";"ALICANTE";"BENIDORM";"4268061";"753128";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.031-9999-000004";"Tossal de la Cala";"ALICANTE";"BENIDORM";"4267926";"747420";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.032-9999-000001";"Escudo de los Castelló, señores de la Baronía de Benifallim";"ALICANTE";"BENIFALLIM";"4282577";"726226";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.032-9999-000019";"Castillo Medieval";"ALICANTE";"BENIFALLIM";"4282480";"726657";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.033-9999-000002";"Castillo de Alfofra";"ALICANTE";"BENIFATO";"4283868";"739011";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.035-9999-000006";"Escudo de los Barriga";"ALICANTE";"BENILLOBA";"4286665";"726922";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.037-9999-000001";"Castillo";"ALICANTE";"BENIMANTELL";"4285060";"743240";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.040-9999-000001";"Castillo de Segaria";"ALICANTE";"BENIMELI";"4302440";"757846";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.040-9999-000003";"El Passet de Segària";"ALICANTE";"BENIMELI";"4302228";"757502";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.041-9999-000001";"La Torreta de Canor";"ALICANTE";"BENISSA";"4290985";"766482";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.041-9999-000002";"Torre Defensiva de la Casa  del Tros de les Calcides";"ALICANTE";"BENISSA";"4285880";"769816";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.041-9999-000003";"Lonja de Contratación";"ALICANTE";"BENISSA";"4289698";"765347";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.043-9999-000001";"Castillo y Murallas de Biar";"ALICANTE";"BIAR";"4278235";"694576";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.043-9999-000004";"Iglesia Parroquial de Nuestra Señora de la Asunción";"ALICANTE";"BIAR";"4278086";"694447";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.043-9999-000081";"Campana la Tercera de la parroquia de la Asunción de Biar";"ALICANTE";"BIAR";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.045-9999-000004";"Castillo de Garx";"ALICANTE";"BOLULLA";"4286948";"749906";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.046-9999-000001";"Torre de Busot";"ALICANTE";"BUSOT";"4263259";"727291";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.046-9999-000002";"Castillo de Busot";"ALICANTE";"BUSOT";"4262845";"725280";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.047-9999-000001";"Recinto Amurallado de la Villa Medieval de Ifach";"ALICANTE";"CALP";"4281166";"767587";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.047-9999-000002";"Torre del Castellet";"ALICANTE";"CALP";"4280901";"761913";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.047-9999-000003";"Murallas de Calpe";"ALICANTE";"CALP";"4281776";"764995";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.047-9999-000004";"La Casa Nova";"ALICANTE";"CALP";"4283389";"766323";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.047-9999-000013";"Baños de la Reina";"ALICANTE";"CALP";"4281422";"766368";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.048-9999-000001";"Castillo y Murallas de Callosa D´En Sarrià";"ALICANTE";"CALLOSA D'EN SARRIÀ";"4282082";"750487";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.048-9999-000003";"Castillo de Bernia";"ALICANTE";"CALLOSA D'EN SARRIÀ";"4283267";"755623";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.049-9999-000001";"Castillo de Callosa de Segura";"ALICANTE";"CALLOSA DE SEGURA";"4221236";"685506";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.049-9999-000002";"Iglesia Parroquial de San Martín";"ALICANTE";"CALLOSA DE SEGURA";"4221554";"685924";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.049-9999-000006";"Campana salida de misa de la parroquia de San Martín de Callosa de Segura";"ALICANTE";"CALLOSA DE SEGURA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.050-9999-000023";"Torre del Barranquet de Marco";"ALICANTE";"CAMPELLO (EL)";;;1;"Bienes inmuebles 1ª";4;"Monumento"
"03.050-9999-000026";"Torre del barranco de Aigües";"ALICANTE";"CAMPELLO (EL)";"4260340";"732113";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.050-9999-000027";"Torre de la Illeta";"ALICANTE";"CAMPELLO (EL)";"4257062";"728345";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.050-9999-000033";"Illeta dels Banyets";"ALICANTE";"CAMPELLO (EL)";"4257022";"728548";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.051-9999-000001";"Puig de Almizra";"ALICANTE";"CAMP DE MIRRA (EL)";"4283893";"692880";1;"Bienes inmuebles 1ª";2;"Sitio histórico"
"03.051-9999-000005";"Masía Fortificada La Torre";"ALICANTE";"CAMP DE MIRRA (EL)";"4284375";"693172";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.051-9999-000006";"Castillo de Almizra";"ALICANTE";"CAMP DE MIRRA (EL)";"4283722";"692734";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.051-9999-000007";"Torre de Campo de Mirra";"ALICANTE";"CAMP DE MIRRA (EL)";"4283717";"692760";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000005";"Escudo de los Rico en calle Mayor 16-18";"ALICANTE";"CASTALLA";"4274480";"702790";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000006";"Escudo de los Bernat";"ALICANTE";"CASTALLA";"4274445";"702763";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000007";"Escudo de los Rico en calle Mayor 2-4";"ALICANTE";"CASTALLA";"4274424";"702746";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000008";"Escudo de los Soler en calle Empedrada";"ALICANTE";"CASTALLA";"4274413";"702714";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000009";"Escudo de los Soler en Plaza Mayor";"ALICANTE";"CASTALLA";"4274412";"702739";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000010";"Escudo de los Soler de la Masía Llentisclar";"ALICANTE";"CASTALLA";"4271113";"703023";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000013";"Castillo y Murallas de Castalla";"ALICANTE";"CASTALLA";"4274683";"702633";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.053-9999-000049";"Campana Maria de la ermita de la Sangre de Castalla";"ALICANTE";"CASTALLA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.054-9999-000001";"Castillo de Serrella";"ALICANTE";"CASTELL DE CASTELLS";"4287889";"743311";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.055-9999-000004";"Campana Santa Teresa de la parroquia de los Santos Juanes de Catral";"ALICANTE";"CATRAL";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.056-9999-000001";"Recinto Amurallado de Cocentaina";"ALICANTE";"COCENTAINA";"4291515";"722395";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000005";"Castillo de Cocentaina";"ALICANTE";"COCENTAINA";"4291674";"721830";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000006";"Castillo de Penella";"ALICANTE";"COCENTAINA";"4286833";"724547";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000007";"Palacio Condal y Monasterio de la Virgen del Milagro";"ALICANTE";"COCENTAINA";"4291410";"722391";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000067";"Escudo de D. Diego Ortiz de Almodovar Capdevila";"ALICANTE";"COCENTAINA";"4291407";"722492";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000068";"Escudo heráldico de los Estaña";"ALICANTE";"COCENTAINA";"4291458";"722517";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000069";"Escudo heráldico de los Pascual";"ALICANTE";"COCENTAINA";"4291539";"722456";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000070";"Escudo heráldico de Ximén Pérez de Corella";"ALICANTE";"COCENTAINA";"4291264";"722352";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.056-9999-000071";"Campana del Tedeum de la parroquia del Salvador de Cocentaina";"ALICANTE";"COCENTAINA";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.057-9999-000001";"Castillo de Alfofra";"ALICANTE";"CONFRIDES";"4283874";"738962";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.058-9999-000001";"Castillo de Santa Bárbara";"ALICANTE";"COX";"4223226";"685524";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.058-9999-000007";"La Cruz";"ALICANTE";"COX";"4223263";"685333";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.059-9999-000006";"Castillo Viejo";"ALICANTE";"CREVILLENT";"4239777";"691781";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.063-9999-000015";"Ermita de San Juan";"ALICANTE";"DÉNIA";"4301577";"770321";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.063-9999-000018";"Casa Fortificada";"ALICANTE";"DÉNIA";"4295626";"771369";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.063-9999-000019";"Torre Almadraba";"ALICANTE";"DÉNIA";"4305976";"762233";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.063-9999-000021";"Castillo y Murallas de Dénia";"ALICANTE";"DÉNIA";"4303944";"769711";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.063-9999-000022";"Torre Carrals";"ALICANTE";"DÉNIA";"4303045";"764100";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.063-9999-000023";"Torre del Guerro";"ALICANTE";"DÉNIA";"4301535";"774315";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000004";"Basilica de Santa María";"ALICANTE";"ELX";"4237973";"701430";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000005";"Castillo-Palacio de Altamira";"ALICANTE";"ELX";"4238051";"701328";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000006";"Colección Arqueológica Municipal";"ALICANTE";"ELX";"4238045";"701331";2;"Bienes muebles 1ª";20;"Fondo de museo (primera)"
"03.065-9999-000007";"Iglesia del Ex-convento de San José";"ALICANTE";"ELX";"4237133";"701082";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000008";"Torre de Ressemblanch";"ALICANTE";"ELX";"4236694";"701932";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000010";"Torre de la Calahorra";"ALICANTE";"ELX";"4237975";"701495";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000011";"Palacio Jorge Juan";"ALICANTE";"ELX";"4237900";"701607";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000014";"Conjunto Histórico Artístico";"ALICANTE";"ELX";"4237989";"701389";1;"Bienes inmuebles 1ª";1;"Conjunto histórico"
"03.065-9999-000015";"Drama Sacro-Lírico del MISTERI D'ELX";"ALICANTE";"ELX";"4237970";"701413";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000016";"Torre Asprillas";"ALICANTE";"ELX";"4233610";"705183";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000017";"Torre Cañada";"ALICANTE";"ELX";"4237552";"711463";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000018";"Torre de Carrús";"ALICANTE";"ELX";"4241231";"697130";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000019";"Torre Jubalcoy";"ALICANTE";"ELX";"4239058";"704929";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000020";"Torre Palombar";"ALICANTE";"ELX";"4234507";"703375";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000021";"Torre Vigía Estaña";"ALICANTE";"ELX";"4235753";"704565";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000022";"Torre Vigía Santa Bárbara";"ALICANTE";"ELX";"4241662";"706179";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000023";"Torre de los Vaillos";"ALICANTE";"ELX";"4238746";"701751";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000024";"Murallas y Torres";"ALICANTE";"ELX";"4237778";"701388";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000027";"Murallas del Castelar";"ALICANTE";"ELX";"4242837";"699741";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000028";"L'Alcudia";"ALICANTE";"ELX";"4234805";"701770";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.065-9999-000031";"Torre de la Senieta";"ALICANTE";"ELX";"4238435";"716369";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.065-9999-000032";"Campana Sant Jeroni de la parroquia de San José de Elx";"ALICANTE";"ELX";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.065-9999-000033";"Campana María de la iglesia de San Andres de les Baies de Elx";"ALICANTE";"ELX";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.065-9999-000034";"Campana dels quarts de la Torre de la Vetlla de Elx";"ALICANTE";"ELX";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.065-9999-000035";"Campana de les hores de la Torre de la Vetlla de Elx";"ALICANTE";"ELX";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.065-9999-000035";"Séquia Major del Pantà d'Elx i Séquia de Marxena";"ALICANTE";"ELX";"4242311";"699204";1;"Bienes inmuebles 1ª";;
"03.065-9999-000036";"Conjunto del Palmeral incluido el Huerto del Cura";"ALICANTE";"ELX";"4238242";"701364";1;"Bienes inmuebles 1ª";8;"Espacio etnológico"
"03.065-9999-000067";"Torre Gaitán";"ALICANTE";"ELX";;;1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.066-9999-000001";"Torreta de Elda";"ALICANTE";"ELDA";"4263235";"691386";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.066-9999-000003";"Castillo";"ALICANTE";"ELDA";"4261468";"692146";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.066-9999-000006";"Yacimiento arqueológico El Monastil";"ALICANTE";"ELDA";"4263001";"692908";1;"Bienes inmuebles 1ª";5;"Zona arqueológica"
"03.066-9999-000013";"Escudo de Elda";"ALICANTE";"ELDA";"4261421";"692624";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.072-9999-000002";"Castillo de Gaianes";"ALICANTE";"GAIANES";"4299820";"723247";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.073-9999-000002";"Escudo heráldico de los Olcina Sánchez Sempere";"ALICANTE";"GORGA";"4288863";"729845";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.074-9999-000001";"Torre Mora";"ALICANTE";"GRANJA DE ROCAMORA";"4224934";"685250";1;"Bienes inmuebles 1ª";4;"Monumento"
